latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,source_dataset
7.31546,81.10326,334.42,0.57,0.43,2026-08-30,826,N,VIIRS,l,2.0NRT,304.81,6.49,D,VIIRS_SNPP_NRT
7.31621,81.10839,336.91,0.57,0.43,2026-08-30,826,N,VIIRS,n,2.0NRT,305.81,9.05,D,VIIRS_SNPP_NRT
7.31681,81.76224,344.78,0.41,0.45,2026-08-30,826,N,VIIRS,n,2.0NRT,299.4,5.41,D,VIIRS_SNPP_NRT
7.32021,81.10786,336.09,0.57,0.43,2026-08-30,826,N,VIIRS,n,2.0NRT,306.09,2.2,D,VIIRS_SNPP_NRT
7.32289,81.80387,340.57,0.42,0.45,2026-08-30,826,N,VIIRS,n,2.0NRT,303.84,2.59,D,VIIRS_SNPP_NRT
7.3236,81.80315,331.97,0.42,0.45,2026-08-30,826,N,VIIRS,l,2.0NRT,303.42,2.14,D,VIIRS_SNPP_NRT
7.32474,81.2229,344.58,0.38,0.43,2026-08-30,826,N,VIIRS,n,2.0NRT,307.22,5.09,D,VIIRS_SNPP_NRT
7.33473,81.20717,357.22,0.38,0.43,2026-08-30,826,N,VIIRS,n,2.0NRT,311.78,10.19,D,VIIRS_SNPP_NRT
7.34377,81.73465,336.86,0.41,0.45,2026-08-30,826,N,VIIRS,n,2.0NRT,300.35,3.47,D,VIIRS_SNPP_NRT
7.35118,81.19792,336.49,0.38,0.43,2026-08-30,826,N,VIIRS,l,2.0NRT,309.58,3.8,D,VIIRS_SNPP_NRT
7.35132,81.81868,335.23,0.42,0.45,2026-08-30,826,N,VIIRS,n,2.0NRT,303.61,2.2,D,VIIRS_SNPP_NRT
7.35166,81.2014,348.5,0.38,0.43,2026-08-30,826,N,VIIRS,n,2.0NRT,310.47,3.8,D,VIIRS_SNPP_NRT
7.35215,81.2049,344.63,0.38,0.43,2026-08-30,826,N,VIIRS,n,2.0NRT,310.14,6.09,D,VIIRS_SNPP_NRT
7.35264,81.2084,348.0,0.38,0.43,2026-08-30,826,N,VIIRS,n,2.0NRT,307.54,6.09,D,VIIRS_SNPP_NRT
7.35635,81.76369,340.63,0.42,0.45,2026-08-30,826,N,VIIRS,n,2.0NRT,304.1,4.46,D,VIIRS_SNPP_NRT
7.36431,81.55346,330.83,0.4,0.44,2026-08-30,826,N,VIIRS,l,2.0NRT,303.42,4.19,D,VIIRS_SNPP_NRT
7.36655,81.24904,343.12,0.39,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,306.31,19.27,D,VIIRS_SNPP_NRT
7.36683,81.77773,338.06,0.42,0.45,2026-08-30,826,N,VIIRS,n,2.0NRT,304.2,5.08,D,VIIRS_SNPP_NRT
7.36748,81.57545,332.45,0.4,0.45,2026-08-30,826,N,VIIRS,l,2.0NRT,303.73,2.71,D,VIIRS_SNPP_NRT
7.37411,81.56326,342.4,0.4,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,303.29,5.71,D,VIIRS_SNPP_NRT
7.37766,81.24046,336.16,0.39,0.44,2026-08-30,826,N,VIIRS,l,2.0NRT,306.84,3.11,D,VIIRS_SNPP_NRT
7.37768,81.55894,331.05,0.4,0.44,2026-08-30,826,N,VIIRS,l,2.0NRT,302.66,3.86,D,VIIRS_SNPP_NRT
7.3884,81.54617,340.43,0.4,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,299.81,4.46,D,VIIRS_SNPP_NRT
7.38893,81.54981,338.13,0.4,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,298.51,4.08,D,VIIRS_SNPP_NRT
7.39143,81.54616,342.88,0.4,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,300.33,4.74,D,VIIRS_SNPP_NRT
7.39302,81.54917,343.05,0.4,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,300.78,5.04,D,VIIRS_SNPP_NRT
7.39604,81.54919,349.53,0.4,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,303.82,8.59,D,VIIRS_SNPP_NRT
7.39712,81.54854,336.74,0.4,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,302.96,5.04,D,VIIRS_SNPP_NRT
7.4049,81.77624,342.42,0.42,0.45,2026-08-30,826,N,VIIRS,n,2.0NRT,303.84,3.36,D,VIIRS_SNPP_NRT
7.4156,81.56924,341.29,0.4,0.45,2026-08-30,826,N,VIIRS,n,2.0NRT,302.85,2.32,D,VIIRS_SNPP_NRT
