latitude,longitude,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,daynight,source_dataset,frp,bright_ti4,confidence_val,is_night,firms_type,is_offshore,is_viiirs,is_modis,dist_refinery,dist_powerplant,dist_factory,dist_volcano,dist_oil_gas,dist_industrial_zone,dist_mining,has_refinery_5km,has_powerplant_5km,has_factory_5km,has_volcano_10km,has_industrial_2km,count_ind_5km,count_ref_5km,cluster_id,final_class,classification,reason,nearest_site_type
6.57044,81.05381,0.55,0.43,2026-08-30,826,N,VIIRS,0.3,2.0NRT,290.95,D,VIIRS_SNPP_NRT,18.25,336.92,1,0,-1,0,1,0,738.7434099730848,708.0986452457004,693.5468717128796,2447.220020670095,1182.609388649577,683.2497445125416,999,0,0,0,0,0,0,0,1,unclassified,unclassified,No rule matched,industrial_zone
6.57118,81.0588,0.55,0.43,2026-08-30,826,N,VIIRS,0.3,2.0NRT,289.64,D,VIIRS_SNPP_NRT,18.25,337.67,1,0,-1,0,1,0,738.7250124297035,708.1106417648256,693.5553071312121,2447.2531569605612,1182.4963361459982,683.2485192376136,999,0,0,0,0,0,0,0,1,unclassified,unclassified,No rule matched,industrial_zone
6.71188,81.53472,0.39,0.44,2026-08-30,826,N,VIIRS,0.3,2.0NRT,300.87,D,VIIRS_SNPP_NRT,3.03,341.78,1,0,-1,0,1,0,731.2067061509335,703.6645170190457,688.8042372146623,2443.342778540308,1165.046290257741,677.5813608619875,999,0,0,0,0,0,0,0,2,unclassified,unclassified,No rule matched,industrial_zone
6.72053,81.5371,0.39,0.44,2026-08-30,826,N,VIIRS,0.3,2.0NRT,299.79,D,VIIRS_SNPP_NRT,5.65,342.87,1,0,-1,0,1,0,730.3111482504362,702.7959474758259,687.9333470821949,2442.4653208682244,1164.0811393296979,676.7027173851747,999,0,0,0,0,0,0,0,2,unclassified,unclassified,No rule matched,industrial_zone
6.72105,81.5407,0.39,0.44,2026-08-30,826,N,VIIRS,0.3,2.0NRT,300.12,D,VIIRS_SNPP_NRT,5.65,343.31,1,0,-1,0,1,0,730.3290649858524,702.8371788161558,687.9726805419925,2442.498987167081,1164.0182940860345,676.7355676721133,999,0,0,0,0,0,0,0,2,unclassified,unclassified,No rule matched,industrial_zone
6.72933,81.16361,0.56,0.43,2026-08-30,826,N,VIIRS,0.3,2.0NRT,291.13,D,VIIRS_SNPP_NRT,4.87,339.18,1,0,-1,0,1,0,722.7158065396853,692.8856811622593,678.2400209777337,2432.4759503966557,1164.3383447101162,667.6847023409155,999,0,0,0,0,0,0,0,-1,unclassified,unclassified,No rule matched,industrial_zone
6.7333,81.16302,0.56,0.43,2026-08-30,826,N,VIIRS,0.3,2.0NRT,291.31,D,VIIRS_SNPP_NRT,19.5,349.54,1,0,-1,0,1,0,722.2696159326065,692.4398879849035,677.7941166115179,2432.030722145795,1163.9004604894276,667.2385707588752,999,0,0,0,0,0,0,0,-1,unclassified,unclassified,No rule matched,industrial_zone
6.7412,81.50845,0.39,0.44,2026-08-30,826,N,VIIRS,0.3,2.0NRT,306.51,D,VIIRS_SNPP_NRT,4.05,342.02,1,0,-1,0,1,0,727.4647030443736,699.7982523312404,684.9477493780936,2439.5118383116455,1161.8277129989597,673.7586167133204,999,0,0,0,0,0,0,0,3,unclassified,unclassified,No rule matched,industrial_zone
6.74123,81.50769,0.39,0.44,2026-08-30,826,N,VIIRS,0.3,2.0NRT,306.26,D,VIIRS_SNPP_NRT,3.86,340.69,1,0,-1,0,1,0,727.4459771729586,699.7747886783304,684.9246774937167,2439.489675932997,1161.8256789755658,673.7368676750343,999,0,0,0,0,0,0,0,3,unclassified,unclassified,No rule matched,industrial_zone
6.74882,81.53226,0.39,0.44,2026-08-30,826,N,VIIRS,0.3,2.0NRT,306.41,D,VIIRS_SNPP_NRT,3.11,335.77,0,0,-1,0,1,0,727.1210345309255,699.6150759886716,684.7513148936634,2439.2802771331285,1160.9426793900102,673.5172684600465,999,0,0,0,0,0,0,0,3,unclassified,unclassified,No rule matched,industrial_zone
