input_index,latitude,longitude,frp,bright_ti4,acq_date,dist_industry_km,dist_forest_km,dist_agriculture_km,dist_oil_gas_km,dist_refinery_km,dist_mining_km,dist_powerplant_km,final_label,hybrid_confidence,raw_ml_confidence,confidence_level,decision_source,agreement,conflict,requires_human_review,review_reason,rule_prediction,rule_active_votes,ml_prediction,ml_top_probability,risk_score,explanation_bullets,n_explanation_bullets,classification_status,decision_confidence,ml_probability,rule_consensus,rule_vote_strength
10,6.79481,81.59746,2.88,331.5,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9995,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9995,0.0,"[""Low-intensity thermal source (FRP: 2.9 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9995,unclassified,0.0
11,6.80013,81.59657,2.88,332.93,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9996,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9996,0.0,"[""Low-intensity thermal source (FRP: 2.9 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9996,unclassified,0.0
12,6.80072,81.59989,2.88,353.05,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9996,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9996,0.0,"[""Low-intensity thermal source (FRP: 2.9 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9996,unclassified,0.0
13,6.85732,81.46571,3.86,335.27,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9997,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9997,0.0,"[""Low-intensity thermal source (FRP: 3.9 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9997,unclassified,0.0
14,6.86213,81.46165,3.86,340.55,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9998,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9998,0.0,"[""Low-intensity thermal source (FRP: 3.9 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9998,unclassified,0.0
15,7.0117,81.60833,5.27,345.12,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9997,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9997,0.0,"[""Moderate thermal signature (FRP: 5.3 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9997,unclassified,0.0
16,7.01405,81.62167,6.13,333.68,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9997,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9997,0.0,"[""Moderate thermal signature (FRP: 6.1 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9997,unclassified,0.0
17,7.05386,81.45487,4.91,346.6,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9998,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9998,0.0,"[""Low-intensity thermal source (FRP: 4.9 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9998,unclassified,0.0
18,7.0563,81.45523,4.42,351.52,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9998,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9998,0.0,"[""Low-intensity thermal source (FRP: 4.4 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9998,unclassified,0.0
19,7.05682,81.45827,4.42,330.89,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9997,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9997,0.0,"[""Low-intensity thermal source (FRP: 4.4 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9997,unclassified,0.0
20,7.05835,81.59419,3.42,338.1,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9997,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9997,0.0,"[""Low-intensity thermal source (FRP: 3.4 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9997,unclassified,0.0
21,7.05969,81.45664,7.77,351.02,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9998,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9998,0.0,"[""Moderate thermal signature (FRP: 7.8 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9998,unclassified,0.0
22,7.06316,81.80867,3.02,331.94,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9996,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9996,0.0,"[""Low-intensity thermal source (FRP: 3.0 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9996,unclassified,0.0
23,7.09891,81.70583,3.48,367.0,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9998,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9998,0.0,"[""Low-intensity thermal source (FRP: 3.5 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9998,unclassified,0.0
24,7.09954,81.70715,6.61,349.97,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9998,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9998,0.0,"[""Moderate thermal signature (FRP: 6.6 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9998,unclassified,0.0
25,7.11475,81.67311,3.78,337.01,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9997,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9997,0.0,"[""Low-intensity thermal source (FRP: 3.8 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9997,unclassified,0.0
26,7.17839,81.81988,2.86,330.11,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9995,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9995,0.0,"[""Low-intensity thermal source (FRP: 2.9 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9995,unclassified,0.0
