cluster_id,centroid_lat,centroid_lon,detection_count,days_active,persistence_ratio,daily_detection_rate,frp_mean,frp_median,frp_max,frp_min,frp_std,frp_sum,bright_ti4_mean,bright_ti4_max,bright_ti4_std,night_fraction,high_conf_fraction,lat_range,lon_range,spatial_extent_km,nearest_site_type,nearest_site_type_encoded,dist_to_nearest_industrial_km,dist_refinery,dist_powerplant,dist_factory,dist_volcano,dist_oil_gas,dist_industrial_zone,dist_mining,has_industrial_within_2km,has_refinery_within_5km,has_powerplant_within_5km,has_volcano_within_10km,num_industrial_sites_within_5km,is_offshore,firms_type,firms_type_mode,classification,rule_confidence,rule_reason,ml_class,ml_confidence,final_class,confidence
-1124,27.66938,76.12862,1,1,0.3333333333333333,1.0,0.32,0.32,0.32,0.32,0.0,0.32,299.11,299.11,0.0,1.0,0.0,0.0,0.0,0.0,industrial_zone,4,0.3159098233431331,211.03980860372866,1.251687092203572,17.882125208507517,44.29572812426131,812.3894854940806,0.3159098233431331,999.0,1,0,1,0,3,0,-1,-1,mining_activity,0.65,Persistent near mining/quarry area,mining_activity,0.994,mining_activity,0.994
-1125,28.35198,70.13081,1,1,0.3333333333333333,1.0,0.75,0.75,0.75,0.75,0.0,0.75,307.1,307.1,0.0,1.0,0.0,0.0,0.0,0.0,industrial_zone,4,406.31617845455713,499.56324358708554,406.75790000561517,465.73761698611406,579.2449219358047,666.057614948996,406.31617845455713,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,0.975,unclassified,0.3
-1126,28.42588,69.698,1,1,0.3333333333333333,1.0,1.83,1.83,1.83,1.83,0.0,1.83,310.32,310.32,0.0,1.0,0.0,0.0,0.0,0.0,industrial_zone,4,418.52409713888204,536.3810258570545,418.80954745063065,488.8115190584929,621.8503715708173,673.9155833528188,418.52409713888204,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,0.992,unclassified,0.3
-1127,28.74306,76.92912,1,1,0.3333333333333333,1.0,1.91,1.91,1.91,1.91,0.0,1.91,316.04,316.04,0.0,1.0,0.0,0.0,0.0,0.0,power_plant,3,3.4369686625497216,79.10088419550965,3.4369686625497216,4.099822785944384,116.0591337156483,954.4692918244721,3.936204575632661,999.0,0,0,1,0,7,0,-1,-1,mining_activity,0.65,Persistent near mining/quarry area,mining_activity,0.999,mining_activity,0.999
-1128,29.45914,76.89161,1,1,0.3333333333333333,1.0,3.18,3.18,3.18,3.18,0.0,3.18,316.03,316.03,0.0,1.0,0.0,0.0,0.0,0.0,industrial_zone,4,0.6272490237400828,1.7556624244556422,1.8108183736177492,3.4374604672102236,176.77722980966638,1023.866028441482,0.6272490237400828,999.0,1,1,1,0,13,0,-1,-1,mining_activity,0.65,Persistent near mining/quarry area,mining_activity,0.653,mining_activity,0.653
-1129,29.4759,76.85623,1,1,0.3333333333333333,1.0,2.28,2.28,2.28,2.28,0.0,2.28,311.77,311.77,0.0,1.0,0.0,0.0,0.0,0.0,industrial_zone,4,1.1297621389498704,2.2022288292137144,2.091821909846577,2.9274603070088356,176.82704818354478,1024.065849226853,1.1297621389498704,999.0,1,1,1,0,14,0,-1,-1,mining_activity,0.65,Persistent near mining/quarry area,mining_activity,0.655,mining_activity,0.655
-1130,18.54634,74.25378,1,1,0.3333333333333333,1.0,1.13,1.13,1.13,1.13,0.0,1.13,311.92,311.92,0.0,1.0,0.0,0.0,0.0,0.0,industrial_zone,4,177.08982417119302,427.32234224046385,177.34465811371265,225.70841729715397,1073.1686208913627,331.06968960626705,177.08982417119302,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1131,19.93695,73.71136,1,1,0.3333333333333333,1.0,2.32,2.32,2.32,2.32,0.0,2.32,323.05,323.05,0.0,1.0,0.0,0.0,0.0,0.0,power_plant,3,21.070730985812947,265.1064511291017,21.070730985812947,77.16843096801738,933.3094575625296,171.840338178543,23.550280209575657,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,0.911,unclassified,0.3
-1132,20.35619,72.94963,1,1,0.3333333333333333,1.0,1.84,1.84,1.84,1.84,0.0,1.84,305.96,305.96,0.0,1.0,0.0,0.0,0.0,0.0,factory,1,1.078745058351734,220.7382878425471,10.290761066849946,1.078745058351734,911.6561524519085,89.19287926962981,1.829915516406764,999.0,1,0,0,0,26,0,-1,-1,mining_activity,0.65,Persistent near mining/quarry area,mining_activity,0.998,mining_activity,0.998
-1133,21.26307,72.94081,1,1,0.3333333333333333,1.0,2.1,2.1,2.1,2.1,0.0,2.1,312.03,312.03,0.0,1.0,0.0,0.0,0.0,0.0,industrial_zone,4,1.0181412789482973,123.91299308082912,5.41889448266647,10.798235939467201,817.5909838744093,37.896232037467364,1.0181412789482973,999.0,1,0,0,0,9,0,-1,-1,mining_activity,0.65,Persistent near mining/quarry area,mining_activity,1.0,mining_activity,1.0
-1134,21.79665,72.08905,1,1,0.3333333333333333,1.0,1.45,1.45,1.45,1.45,0.0,1.45,308.36,308.36,0.0,1.0,0.0,0.0,0.0,0.0,industrial_zone,4,2.6024983163888047,124.30915065568682,12.330398075938938,48.21831155027687,801.7174353619354,95.30947100100076,2.6024983163888047,999.0,0,0,0,0,4,0,-1,-1,mining_activity,0.65,Persistent near mining/quarry area,mining_activity,1.0,mining_activity,1.0
-1135,9.67002,77.45597,1,1,0.3333333333333333,1.0,0.77,0.77,0.77,0.77,0.0,0.77,297.92,297.92,0.0,1.0,0.0,0.0,0.0,0.0,industrial_zone,4,332.16950311522214,495.7129678543577,332.9306858950317,332.91124012430043,2050.1382720511333,877.0238653010729,332.16950311522214,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,0.975,unclassified,0.3
-1136,11.62482,79.08276,1,1,0.3333333333333333,1.0,0.94,0.94,0.94,0.94,0.0,0.94,304.91,304.91,0.0,1.0,0.0,0.0,0.0,0.0,industrial_zone,4,118.21505450915791,215.03696830308465,133.672340306719,136.40953196832484,1854.7304928885949,650.2879245716541,118.21505450915791,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,0.991,unclassified,0.3
-1137,13.71089,79.62021,1,1,0.3333333333333333,1.0,1.05,1.05,1.05,1.05,0.0,1.05,304.97,304.97,0.0,1.0,0.0,0.0,0.0,0.0,industrial_zone,4,1.3012715074141026,92.6086377736226,10.996066593711062,13.242506529837664,1638.027463470684,428.2582349730904,1.3012715074141026,999.0,1,0,0,0,1,0,-1,-1,mining_activity,0.65,Persistent near mining/quarry area,mining_activity,0.981,mining_activity,0.981
-1138,15.17345,76.78623,1,1,0.3333333333333333,1.0,0.79,0.79,0.79,0.79,0.0,0.79,302.27,302.27,0.0,1.0,0.0,0.0,0.0,0.0,industrial_zone,4,0.1914234683126465,436.88597825958954,10.450633787100692,16.664499743748202,1434.8752345213427,327.21683202023917,0.1914234683126465,999.0,1,0,0,0,6,0,-1,-1,mining_activity,0.65,Persistent near mining/quarry area,mining_activity,1.0,mining_activity,1.0
-1139,6.95868,79.95699,1,1,0.3333333333333333,1.0,1.05,1.05,1.05,1.05,0.0,1.05,300.79,300.79,0.0,1.0,0.0,0.0,0.0,0.0,industrial_zone,4,633.0578705297514,691.4934750920398,649.825053764074,641.0636131154176,2382.2895625363126,1152.723352772093,633.0578705297514,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,0.99,unclassified,0.3
-1140,6.74823,81.75127,1,1,0.3333333333333333,1.0,2.28,2.28,2.28,2.28,0.0,2.28,333.23,333.23,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,679.4087089871671,732.1041972389082,705.9815943791963,691.0154386768887,2444.9210312250843,1160.9304671026664,679.4087089871671,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1141,7.07676,81.82498,1,1,0.3333333333333333,1.0,3.59,3.59,3.59,3.59,0.0,3.59,341.21,341.21,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,646.4323710300289,698.4206918407692,673.356976788209,658.3212414676866,2411.3747510684634,1124.4865245332664,646.4323710300289,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,0.998,unclassified,0.3
-1142,7.09931,80.83875,1,1,0.3333333333333333,1.0,3.8,3.8,3.8,3.8,0.0,3.8,330.54,330.54,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,621.7954251432723,677.8076437171962,646.2678990946836,631.8154303136238,2384.803653542121,1125.54539214976,621.7954251432723,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1143,7.17094,81.64171,1,1,0.3333333333333333,1.0,8.79,8.79,8.79,8.79,0.0,8.79,345.22,345.22,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,630.876819147538,683.5952704910185,657.4685232025223,642.4969149522896,2396.392481701693,1113.905522370182,630.876819147538,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1144,7.1865,81.38634,1,1,0.3333333333333333,1.0,4.57,4.57,4.57,4.57,0.0,4.57,339.42,339.42,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,622.4941917273038,676.3266079215691,648.4952276982448,633.65136752893,2388.2336322473016,1112.6153189225186,622.4941917273038,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1145,7.4614,80.99762,1,1,0.3333333333333333,1.0,24.03,24.03,24.03,24.03,0.0,24.03,354.52,354.52,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,584.3863136012654,639.6362257316154,609.4924301333093,594.8663241604929,2349.0409510739487,1084.1075104661415,584.3863136012654,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1146,7.47357,81.65829,1,1,0.3333333333333333,1.0,9.86,9.86,9.86,9.86,0.0,9.86,346.07,346.07,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,598.9311728623663,651.2061928824203,625.7568997891996,610.7381866343545,2364.1301925744137,1080.2499684746376,598.9311728623663,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1147,7.52729,80.8979,1,1,0.3333333333333333,1.0,2.18,2.18,2.18,2.18,0.0,2.18,334.5,334.5,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,575.4843351730121,631.0941208466703,600.3249933589148,585.7683706536134,2339.567459341631,1077.5913977454659,575.4843351730121,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
